,code,region,Value,Outlet_Type,year,month
0,11A,Área Metropolitana do Porto,2388,Total,2024,12
1,11A0104,Arouca,9,Total,2024,12
2,11A0107,Espinho,25,Total,2024,12
3,11A1304,Gondomar,113,Total,2024,12
4,11A1306,Maia,177,Total,2024,12
5,11A1308,Matosinhos,357,Total,2024,12
6,11A0113,Oliveira de Azeméis,24,Total,2024,12
7,11A1310,Paredes,62,Total,2024,12
8,11A1312,Porto,566,Total,2024,12
9,11A1313,Póvoa de Varzim,88,Total,2024,12
10,11A0109,Santa Maria da Feira,194,Total,2024,12
11,11A1314,Santo Tirso,62,Total,2024,12
12,11A0116,São João da Madeira,65,Total,2024,12
13,11A1318,Trofa,33,Total,2024,12
14,11A0119,Vale de Cambra,12,Total,2024,12
15,11A1315,Valongo,104,Total,2024,12
16,11A1316,Vila do Conde,95,Total,2024,12
17,11A1317,Vila Nova de Gaia,402,Total,2024,12
18,11A,Área Metropolitana do Porto,1584,Mennekes,2024,12
19,11A0104,Arouca,7,Mennekes,2024,12
20,11A0107,Espinho,17,Mennekes,2024,12
21,11A1304,Gondomar,69,Mennekes,2024,12
22,11A1306,Maia,130,Mennekes,2024,12
23,11A1308,Matosinhos,243,Mennekes,2024,12
24,11A0113,Oliveira de Azeméis,15,Mennekes,2024,12
25,11A1310,Paredes,29,Mennekes,2024,12
26,11A1312,Porto,411,Mennekes,2024,12
27,11A1313,Póvoa de Varzim,53,Mennekes,2024,12
28,11A0109,Santa Maria da Feira,135,Mennekes,2024,12
29,11A1314,Santo Tirso,30,Mennekes,2024,12
30,11A0116,São João da Madeira,53,Mennekes,2024,12
31,11A1318,Trofa,15,Mennekes,2024,12
32,11A0119,Vale de Cambra,5,Mennekes,2024,12
33,11A1315,Valongo,53,Mennekes,2024,12
34,11A1316,Vila do Conde,63,Mennekes,2024,12
35,11A1317,Vila Nova de Gaia,256,Mennekes,2024,12
36,11A,Área Metropolitana do Porto,326,CHAdeMO,2024,12
37,11A0104,Arouca,1,CHAdeMO,2024,12
38,11A0107,Espinho,4,CHAdeMO,2024,12
39,11A1304,Gondomar,16,CHAdeMO,2024,12
40,11A1306,Maia,19,CHAdeMO,2024,12
41,11A1308,Matosinhos,39,CHAdeMO,2024,12
42,11A0113,Oliveira de Azeméis,4,CHAdeMO,2024,12
43,11A1310,Paredes,12,CHAdeMO,2024,12
44,11A1312,Porto,71,CHAdeMO,2024,12
45,11A1313,Póvoa de Varzim,12,CHAdeMO,2024,12
46,11A0109,Santa Maria da Feira,21,CHAdeMO,2024,12
47,11A1314,Santo Tirso,15,CHAdeMO,2024,12
48,11A0116,São João da Madeira,5,CHAdeMO,2024,12
49,11A1318,Trofa,8,CHAdeMO,2024,12
50,11A0119,Vale de Cambra,4,CHAdeMO,2024,12
51,11A1315,Valongo,20,CHAdeMO,2024,12
52,11A1316,Vila do Conde,11,CHAdeMO,2024,12
53,11A1317,Vila Nova de Gaia,64,CHAdeMO,2024,12
54,11A,Área Metropolitana do Porto,478,CCS,2024,12
55,11A0104,Arouca,1,CCS,2024,12
56,11A0107,Espinho,4,CCS,2024,12
57,11A1304,Gondomar,28,CCS,2024,12
58,11A1306,Maia,28,CCS,2024,12
59,11A1308,Matosinhos,75,CCS,2024,12
