,date,tavg,tmin,tmax,prcp,wspd,wpgt,pres,year,month,day,time
0,2022-01-01,18.0,14.3,22.5,,18.9,33.3,1023.8,2022,1,1,00:00:00
1,2022-01-02,13.9,10.6,16.6,,9.5,27.8,1028.8,2022,1,2,00:00:00
2,2022-01-03,12.0,9.3,13.9,,15.3,40.8,1024.3,2022,1,3,00:00:00
3,2022-01-04,11.9,9.7,15.0,,22.0,46.3,1017.1,2022,1,4,00:00:00
4,2022-01-05,9.8,7.3,13.4,,11.8,33.3,1021.1,2022,1,5,00:00:00
5,2022-01-06,8.6,5.4,12.6,,7.6,18.5,1023.7,2022,1,6,00:00:00
6,2022-01-07,10.0,6.8,14.0,,14.6,33.3,1030.6,2022,1,7,00:00:00
7,2022-01-08,7.8,3.3,11.8,,7.8,23.0,1031.6,2022,1,8,00:00:00
8,2022-01-09,12.7,10.9,13.7,,8.6,24.1,1027.7,2022,1,9,00:00:00
9,2022-01-10,12.2,8.9,13.5,,13.6,25.9,1026.0,2022,1,10,00:00:00
10,2022-01-11,12.2,8.4,17.2,,9.9,25.0,1026.3,2022,1,11,00:00:00
11,2022-01-12,11.9,8.0,16.9,,13.4,32.0,1027.6,2022,1,12,00:00:00
12,2022-01-13,10.7,7.3,15.5,,15.0,31.5,1029.4,2022,1,13,00:00:00
13,2022-01-14,9.0,5.8,14.1,,13.5,33.3,1030.1,2022,1,14,00:00:00
14,2022-01-15,9.9,6.5,15.3,,12.5,29.6,1026.6,2022,1,15,00:00:00
15,2022-01-16,12.0,9.4,16.0,,11.8,25.9,1029.2,2022,1,16,00:00:00
16,2022-01-17,11.2,7.6,17.1,,12.4,25.9,1031.5,2022,1,17,00:00:00
17,2022-01-18,10.3,7.0,16.6,,14.1,27.8,1030.2,2022,1,18,00:00:00
18,2022-01-19,8.9,4.9,14.5,,11.8,25.9,1030.6,2022,1,19,00:00:00
19,2022-01-20,11.2,6.4,18.1,,13.5,25.9,1028.1,2022,1,20,00:00:00
20,2022-01-21,9.9,6.9,14.3,,14.5,31.5,1026.4,2022,1,21,00:00:00
21,2022-01-22,8.2,5.0,13.7,,20.2,38.9,1026.9,2022,1,22,00:00:00
22,2022-01-23,8.8,4.9,14.4,,14.1,31.5,1024.7,2022,1,23,00:00:00
23,2022-01-24,7.6,3.1,14.0,,9.8,25.9,1026.4,2022,1,24,00:00:00
24,2022-01-25,8.8,5.1,15.0,,12.3,27.8,1029.4,2022,1,25,00:00:00
25,2022-01-26,10.2,6.6,15.6,,15.2,37.0,1027.7,2022,1,26,00:00:00
26,2022-01-27,11.3,7.2,18.3,,13.6,36.0,1027.7,2022,1,27,00:00:00
27,2022-01-28,11.7,7.0,18.1,,13.2,39.0,1029.8,2022,1,28,00:00:00
28,2022-01-29,12.8,7.6,19.6,,13.5,31.5,1030.9,2022,1,29,00:00:00
29,2022-01-30,11.5,6.8,18.7,,12.8,29.6,1028.6,2022,1,30,00:00:00
30,2022-01-31,9.0,3.8,15.5,,9.8,25.9,1029.9,2022,1,31,00:00:00
31,2022-02-01,13.6,6.3,19.3,,18.0,33.0,1030.7,2022,2,1,00:00:00
32,2022-02-02,14.2,9.7,19.7,,14.9,38.0,1026.7,2022,2,2,00:00:00
33,2022-02-03,10.6,7.0,14.5,,8.6,20.4,1024.1,2022,2,3,00:00:00
34,2022-02-04,11.2,9.3,13.6,,10.2,27.8,1025.1,2022,2,4,00:00:00
35,2022-02-05,10.2,6.0,15.2,,10.0,29.6,1027.0,2022,2,5,00:00:00
36,2022-02-06,10.0,7.0,14.2,,12.0,27.8,1029.9,2022,2,6,00:00:00
37,2022-02-07,12.4,6.4,20.3,,11.4,39.0,1029.2,2022,2,7,00:00:00
38,2022-02-08,14.0,10.8,20.1,,15.6,37.0,1026.8,2022,2,8,00:00:00
39,2022-02-09,12.2,8.7,18.2,,11.2,27.8,1028.1,2022,2,9,00:00:00
40,2022-02-10,12.5,8.0,17.9,,10.5,22.2,1027.2,2022,2,10,00:00:00
41,2022-02-11,12.7,9.8,16.4,,7.4,22.2,1026.2,2022,2,11,00:00:00
42,2022-02-12,11.6,8.8,15.2,,6.0,20.4,1023.9,2022,2,12,00:00:00
43,2022-02-13,10.5,7.7,13.8,,17.3,52.0,1018.5,2022,2,13,00:00:00
44,2022-02-14,10.8,7.3,14.3,,13.1,37.0,1023.5,2022,2,14,00:00:00
45,2022-02-15,9.6,5.6,13.7,,9.3,21.0,1030.3,2022,2,15,00:00:00
46,2022-02-16,12.2,9.5,13.6,,9.5,24.1,1031.3,2022,2,16,00:00:00
47,2022-02-17,13.0,9.9,16.0,,5.9,18.5,1028.0,2022,2,17,00:00:00
48,2022-02-18,11.2,7.9,13.7,,16.8,42.6,1022.4,2022,2,18,00:00:00
49,2022-02-19,8.8,4.4,14.4,,20.7,44.5,1027.4,2022,2,19,00:00:00
50,2022-02-20,9.8,3.2,15.2,,12.9,35.2,1030.8,2022,2,20,00:00:00
51,2022-02-21,11.6,6.4,17.1,,12.7,35.2,1030.3,2022,2,21,00:00:00
52,2022-02-22,14.7,8.7,22.4,,14.0,37.0,1028.1,2022,2,22,00:00:00
53,2022-02-23,15.0,9.4,21.2,,11.5,29.6,1021.6,2022,2,23,00:00:00
54,2022-02-24,10.8,7.0,15.2,,9.2,37.0,1020.6,2022,2,24,00:00:00
55,2022-02-25,14.0,8.8,19.8,,15.2,35.2,1021.9,2022,2,25,00:00:00
56,2022-02-26,12.4,10.2,14.9,,10.9,29.6,1019.6,2022,2,26,00:00:00
57,2022-02-27,11.7,7.7,15.3,,6.2,24.1,1022.9,2022,2,27,00:00:00
58,2022-02-28,11.5,7.5,16.1,,6.9,21.0,1026.0,2022,2,28,00:00:00
59,2022-03-01,12.2,9.5,15.9,,11.1,33.3,1025.0,2022,3,1,00:00:00
60,2022-03-02,11.4,7.4,13.9,,8.7,27.8,1025.3,2022,3,2,00:00:00
61,2022-03-03,11.3,8.0,14.3,,28.4,61.1,1021.0,2022,3,3,00:00:00
62,2022-03-04,8.7,4.2,13.5,,17.4,48.2,1024.9,2022,3,4,00:00:00
63,2022-03-05,8.9,5.7,14.3,,11.7,37.0,1018.4,2022,3,5,00:00:00
64,2022-03-06,9.1,3.9,13.9,,12.7,33.3,1016.7,2022,3,6,00:00:00
65,2022-03-07,9.3,4.6,13.0,,13.2,33.3,1013.2,2022,3,7,00:00:00
66,2022-03-08,11.3,8.6,14.5,,12.3,48.0,1016.2,2022,3,8,00:00:00
67,2022-03-09,11.8,9.7,14.4,,18.7,54.0,1017.3,2022,3,9,00:00:00
68,2022-03-10,12.7,10.1,14.3,,22.5,57.0,1015.4,2022,3,10,00:00:00
69,2022-03-11,12.2,8.2,14.2,,11.1,50.0,1014.0,2022,3,11,00:00:00
70,2022-03-12,10.9,8.0,13.5,,16.3,49.0,1013.4,2022,3,12,00:00:00
71,2022-03-13,10.2,6.3,14.2,,12.4,46.0,1013.7,2022,3,13,00:00:00
72,2022-03-14,10.8,8.3,13.7,,14.2,46.0,1009.4,2022,3,14,00:00:00
73,2022-03-15,12.5,6.2,16.9,,10.5,37.0,1012.2,2022,3,15,00:00:00
74,2022-03-16,13.6,11.8,16.7,,20.1,50.0,1017.6,2022,3,16,00:00:00
75,2022-03-17,13.0,9.6,17.1,,12.2,31.5,1024.1,2022,3,17,00:00:00
76,2022-03-18,13.3,8.0,19.7,,13.5,35.2,1023.6,2022,3,18,00:00:00
77,2022-03-19,14.9,11.0,20.1,,11.2,27.8,1020.4,2022,3,19,00:00:00
78,2022-03-20,15.5,12.7,19.7,,12.6,35.2,1015.8,2022,3,20,00:00:00
79,2022-03-21,13.6,10.7,18.2,,9.8,24.1,1015.4,2022,3,21,00:00:00
80,2022-03-22,12.9,11.4,15.2,,15.6,34.0,1016.2,2022,3,22,00:00:00
81,2022-03-23,13.8,11.0,17.4,,14.3,31.0,1016.0,2022,3,23,00:00:00
82,2022-03-24,15.8,10.5,21.1,,13.8,33.3,1016.3,2022,3,24,00:00:00
83,2022-03-25,16.3,14.1,19.1,,12.6,32.0,1015.4,2022,3,25,00:00:00
84,2022-03-26,15.4,13.0,20.1,,9.9,27.0,1016.3,2022,3,26,00:00:00
85,2022-03-27,15.5,10.9,20.4,,11.3,28.0,1019.0,2022,3,27,00:00:00
86,2022-03-28,16.4,13.4,21.0,,11.0,27.8,1016.3,2022,3,28,00:00:00
87,2022-03-29,14.7,12.0,17.5,,14.0,48.2,1010.2,2022,3,29,00:00:00
88,2022-03-30,11.8,7.2,15.1,,17.2,48.2,1009.9,2022,3,30,00:00:00
89,2022-03-31,12.4,10.5,14.7,,18.4,51.8,1011.4,2022,3,31,00:00:00
90,2022-04-01,10.6,5.5,15.6,,19.7,46.3,1018.1,2022,4,1,00:00:00
91,2022-04-02,10.0,4.1,15.6,,14.7,37.0,1020.0,2022,4,2,00:00:00
92,2022-04-03,10.8,6.6,15.4,,15.9,44.5,1016.9,2022,4,3,00:00:00
93,2022-04-04,10.7,5.6,16.4,,23.0,59.0,1015.3,2022,4,4,00:00:00
94,2022-04-05,11.2,7.9,15.6,,16.5,35.2,1014.2,2022,4,5,00:00:00
95,2022-04-06,11.4,7.4,15.0,,13.6,40.8,1017.8,2022,4,6,00:00:00
96,2022-04-07,13.7,12.2,15.6,,12.5,32.0,1023.0,2022,4,7,00:00:00
97,2022-04-08,13.5,12.6,14.0,,17.6,43.0,1019.7,2022,4,8,00:00:00
98,2022-04-09,12.7,9.2,17.2,,9.2,24.0,1018.1,2022,4,9,00:00:00
99,2022-04-10,15.0,12.7,18.1,,14.1,35.2,1009.3,2022,4,10,00:00:00
100,2022-04-11,13.7,12.5,15.7,,19.0,40.0,1003.1,2022,4,11,00:00:00
101,2022-04-12,13.3,11.5,16.0,,13.3,37.0,1008.0,2022,4,12,00:00:00
102,2022-04-13,13.5,11.5,16.7,,12.9,43.0,1017.2,2022,4,13,00:00:00
103,2022-04-14,12.7,9.0,16.6,,11.4,37.0,1020.4,2022,4,14,00:00:00
104,2022-04-15,13.5,9.0,18.1,,8.4,31.5,1022.6,2022,4,15,00:00:00
105,2022-04-16,13.8,11.2,16.7,,13.1,37.0,1023.5,2022,4,16,00:00:00
106,2022-04-17,14.7,12.2,18.6,,14.8,44.5,1020.5,2022,4,17,00:00:00
107,2022-04-18,13.6,9.3,16.9,,21.3,57.4,1017.6,2022,4,18,00:00:00
108,2022-04-19,12.0,8.9,16.5,,33.0,66.0,1018.8,2022,4,19,00:00:00
109,2022-04-20,11.4,6.8,15.7,,27.7,66.7,1016.7,2022,4,20,00:00:00
110,2022-04-21,11.0,7.6,14.9,,13.8,38.9,1010.3,2022,4,21,00:00:00
111,2022-04-22,10.4,8.1,13.0,,11.8,37.0,997.1,2022,4,22,00:00:00
112,2022-04-23,11.2,7.7,15.1,,7.8,29.6,1004.9,2022,4,23,00:00:00
113,2022-04-24,13.1,9.6,16.0,,10.8,30.0,1013.3,2022,4,24,00:00:00
114,2022-04-25,13.7,8.7,18.0,,10.7,25.9,1012.1,2022,4,25,00:00:00
115,2022-04-26,14.1,11.3,16.5,,12.4,27.8,1012.9,2022,4,26,00:00:00
116,2022-04-27,14.5,12.5,16.8,,10.0,25.0,1017.8,2022,4,27,00:00:00
117,2022-04-28,14.9,9.8,20.0,,12.7,38.9,1022.0,2022,4,28,00:00:00
118,2022-04-29,18.0,13.9,23.1,,14.1,33.0,1024.2,2022,4,29,00:00:00
119,2022-04-30,15.9,12.9,21.1,,10.6,33.3,1023.7,2022,4,30,00:00:00
120,2022-05-01,13.9,12.6,15.9,,13.1,37.0,1022.9,2022,5,1,00:00:00
121,2022-05-02,14.1,11.7,17.1,,21.2,55.5,1016.1,2022,5,2,00:00:00
122,2022-05-03,15.5,8.5,21.0,,17.3,44.5,1014.3,2022,5,3,00:00:00
123,2022-05-04,17.7,13.4,21.6,,13.6,40.8,1017.9,2022,5,4,00:00:00
124,2022-05-05,17.2,12.5,21.6,,7.5,29.6,1021.7,2022,5,5,00:00:00
125,2022-05-06,15.4,11.7,18.8,,5.9,24.1,1022.8,2022,5,6,00:00:00
126,2022-05-07,16.3,10.3,24.0,,7.7,31.0,1021.0,2022,5,7,00:00:00
127,2022-05-08,18.4,14.3,23.5,,8.9,27.0,1019.6,2022,5,8,00:00:00
128,2022-05-09,16.0,13.7,20.3,,7.9,31.5,1020.5,2022,5,9,00:00:00
129,2022-05-10,14.8,12.4,18.7,,8.7,29.6,1020.9,2022,5,10,00:00:00
130,2022-05-11,15.3,12.8,18.5,,14.3,34.0,1019.2,2022,5,11,00:00:00
131,2022-05-12,16.9,12.7,21.4,,8.9,25.9,1018.1,2022,5,12,00:00:00
132,2022-05-13,18.4,12.9,23.0,,8.0,29.6,1019.1,2022,5,13,00:00:00
133,2022-05-14,20.5,15.3,29.8,,14.5,42.0,1013.7,2022,5,14,00:00:00
