,date,tavg,tmin,tmax,prcp,wspd,wpgt,pres,year,month,day,time
0,2022-01-01,16.4,11.6,23.7,0.0,14.9,29.6,1025.3,2022,1,1,00:00:00
1,2022-01-02,13.8,10.9,23.7,4.3,7.4,24.1,1029.7,2022,1,2,00:00:00
2,2022-01-03,11.9,8.8,17.2,0.3,13.4,33.3,1025.5,2022,1,3,00:00:00
3,2022-01-04,12.1,8.5,15.3,9.7,14.7,44.5,1018.4,2022,1,4,00:00:00
4,2022-01-05,9.7,7.1,13.3,10.4,8.9,31.5,1022.3,2022,1,5,00:00:00
5,2022-01-06,7.8,4.1,13.3,0.3,5.2,14.8,1025.0,2022,1,6,00:00:00
6,2022-01-07,10.1,6.4,14.1,0.3,11.5,29.6,1032.3,2022,1,7,00:00:00
7,2022-01-08,6.7,2.3,14.1,0.3,5.1,14.8,1034.1,2022,1,8,00:00:00
8,2022-01-09,12.0,6.8,13.6,17.5,7.7,22.2,1028.8,2022,1,9,00:00:00
9,2022-01-10,12.4,9.6,13.6,2.3,6.9,22.2,1027.4,2022,1,10,00:00:00
10,2022-01-11,11.4,8.2,17.8,0.3,5.8,14.8,1029.3,2022,1,11,00:00:00
11,2022-01-12,12.7,10.3,17.8,0.0,7.1,24.1,1030.4,2022,1,12,00:00:00
12,2022-01-13,9.9,6.4,15.3,0.0,7.1,22.2,1030.9,2022,1,13,00:00:00
13,2022-01-14,7.3,3.3,15.1,,6.7,22.2,1032.1,2022,1,14,00:00:00
14,2022-01-15,8.6,3.7,15.9,,8.5,22.2,1027.6,2022,1,15,00:00:00
15,2022-01-16,11.1,7.9,15.9,0.3,7.4,18.5,1029.5,2022,1,16,00:00:00
16,2022-01-17,10.3,7.5,16.4,,6.0,18.5,1032.7,2022,1,17,00:00:00
17,2022-01-18,8.9,4.7,16.9,,6.9,20.4,1031.4,2022,1,18,00:00:00
18,2022-01-19,7.8,2.9,16.9,0.0,6.9,20.4,1031.5,2022,1,19,00:00:00
19,2022-01-20,10.1,4.0,18.5,,6.5,20.4,1029.2,2022,1,20,00:00:00
20,2022-01-21,9.8,5.6,18.5,,8.2,24.1,1027.5,2022,1,21,00:00:00
21,2022-01-22,7.9,4.7,13.0,,8.9,27.8,1028.1,2022,1,22,00:00:00
22,2022-01-23,7.6,2.9,15.9,,6.0,20.4,1026.0,2022,1,23,00:00:00
23,2022-01-24,7.1,1.6,15.9,0.0,6.1,20.4,1027.1,2022,1,24,00:00:00
24,2022-01-25,7.9,3.0,15.6,0.3,5.9,20.4,1030.4,2022,1,25,00:00:00
25,2022-01-26,8.5,3.6,15.6,0.0,6.1,20.4,1028.7,2022,1,26,00:00:00
26,2022-01-27,11.4,5.8,17.9,0.0,5.8,18.5,1028.7,2022,1,27,00:00:00
27,2022-01-28,11.9,5.3,17.9,,7.3,22.2,1030.4,2022,1,28,00:00:00
28,2022-01-29,12.8,6.5,19.1,,7.2,22.2,1032.4,2022,1,29,00:00:00
29,2022-01-30,9.7,4.0,19.4,,6.8,22.2,1030.4,2022,1,30,00:00:00
30,2022-01-31,8.1,3.1,19.4,,6.3,18.5,1030.9,2022,1,31,00:00:00
31,2022-02-01,13.7,5.1,18.8,,6.4,20.4,1031.8,2022,2,1,00:00:00
32,2022-02-02,13.4,7.8,20.1,,8.1,22.2,1028.4,2022,2,2,00:00:00
33,2022-02-03,9.5,5.4,20.1,,6.9,16.7,1025.2,2022,2,3,00:00:00
34,2022-02-04,10.4,8.1,14.8,0.5,6.0,24.1,1026.0,2022,2,4,00:00:00
35,2022-02-05,9.6,4.6,17.5,0.3,8.4,24.1,1027.4,2022,2,5,00:00:00
36,2022-02-06,10.3,5.9,17.5,0.0,6.5,18.5,1030.4,2022,2,6,00:00:00
37,2022-02-07,12.0,4.4,21.0,0.0,6.8,20.4,1030.0,2022,2,7,00:00:00
38,2022-02-08,15.2,10.1,20.8,,7.1,24.1,1027.9,2022,2,8,00:00:00
39,2022-02-09,14.4,6.5,19.3,,7.7,22.2,1028.8,2022,2,9,00:00:00
40,2022-02-10,11.7,6.9,19.3,,7.5,20.4,1028.2,2022,2,10,00:00:00
41,2022-02-11,12.8,8.0,18.0,,5.9,18.5,1027.2,2022,2,11,00:00:00
42,2022-02-12,11.0,7.4,17.4,,5.7,18.5,1024.7,2022,2,12,00:00:00
43,2022-02-13,9.6,6.1,15.0,12.7,13.4,42.6,1019.7,2022,2,13,00:00:00
44,2022-02-14,10.3,5.8,14.4,1.0,7.4,27.8,1024.2,2022,2,14,00:00:00
45,2022-02-15,8.8,3.9,14.6,0.3,6.4,20.4,1031.1,2022,2,15,00:00:00
46,2022-02-16,11.8,9.1,14.6,2.3,8.1,22.2,1031.8,2022,2,16,00:00:00
47,2022-02-17,12.9,10.5,16.4,0.8,5.1,18.5,1029.2,2022,2,17,00:00:00
48,2022-02-18,10.8,9.0,16.4,3.3,11.2,35.2,1023.5,2022,2,18,00:00:00
49,2022-02-19,9.6,6.0,14.6,1.0,17.2,38.9,1028.0,2022,2,19,00:00:00
50,2022-02-20,9.9,3.3,17.8,0.0,8.1,24.1,1031.8,2022,2,20,00:00:00
51,2022-02-21,10.2,4.6,17.8,0.3,10.0,27.8,1031.0,2022,2,21,00:00:00
52,2022-02-22,13.4,6.0,22.7,0.3,6.5,20.4,1029.2,2022,2,22,00:00:00
53,2022-02-23,13.3,7.0,22.7,0.0,7.2,20.4,1022.8,2022,2,23,00:00:00
54,2022-02-24,11.1,6.4,21.4,0.0,10.4,31.5,1020.9,2022,2,24,00:00:00
55,2022-02-25,14.3,11.4,18.9,,9.0,25.9,1022.4,2022,2,25,00:00:00
56,2022-02-26,12.1,10.3,18.9,,6.1,18.5,1020.8,2022,2,26,00:00:00
57,2022-02-27,11.3,6.5,15.8,,6.0,20.4,1023.4,2022,2,27,00:00:00
58,2022-02-28,11.1,5.6,17.0,0.3,6.5,20.4,1026.8,2022,2,28,00:00:00
59,2022-03-01,12.1,9.6,17.0,8.4,9.8,29.6,1025.7,2022,3,1,00:00:00
60,2022-03-02,10.7,7.3,16.2,0.5,6.8,22.2,1026.0,2022,3,2,00:00:00
61,2022-03-03,11.6,8.9,14.6,11.9,17.3,44.5,1021.5,2022,3,3,00:00:00
62,2022-03-04,9.7,5.6,14.6,0.0,13.8,35.2,1025.8,2022,3,4,00:00:00
63,2022-03-05,8.6,4.6,15.5,0.0,6.9,20.4,1019.8,2022,3,5,00:00:00
64,2022-03-06,10.2,4.5,15.5,,10.7,29.6,1017.2,2022,3,6,00:00:00
65,2022-03-07,8.7,3.4,14.9,2.0,9.5,29.6,1014.3,2022,3,7,00:00:00
66,2022-03-08,11.3,8.4,14.9,8.4,10.8,25.9,1017.0,2022,3,8,00:00:00
