,Installation Code,District,Municipality,Geographic Coordinates,Installed Power [kVA],Usage Level [%],Construction Type,Contracted Power [kVA],Number of Clients,Power Generation [kW],Number of Client Producers,Usage Histogram,DistrictCode,DistrictMunicipalityCode
28,1312D2103700,Porto,Porto,"41.183677856847204, -8.608945507725844",630,0%-19%,Cabine metálica (monobloco),1317.35,201,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5359.75;2949.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
35,1316D2004400,Porto,Vila do Conde,"41.336527228320506, -8.645671024999814",400,20%-39%,Cabine alta,1610.01,216,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.25;2134.75;4833.0;1339.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
36,1316D2016800,Porto,Vila do Conde,"41.27164654205575, -8.724611320666718",630,20%-39%,Cabine baixa em edifício próprio,2047.95,336,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.75;4024.75;3997.75;282.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
37,1316D2057000,Porto,Vila do Conde,"41.279717670991126, -8.679046573660683",400,0%-19%,Cabine pré-fabricada,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;8290.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
39,1317D2070300,Porto,Vila Nova de Gaia,"41.04344892828184, -8.542996018121055",250,20%-39%,Cabine baixa em edifício próprio,640.00,71,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;575.5;5206.25;2448.5;80.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
40,1317D2051700,Porto,Vila Nova de Gaia,"41.11455052390216, -8.61403627288223",630,0%-19%,Cabine baixa em edifício próprio,1178.46,188,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4516.25;3797.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
41,1317D2033500,Porto,Vila Nova de Gaia,"41.13972799931655, -8.636187844159922",630,0%-19%,Cabine baixa em edifício próprio,592.77,91,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8316.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
64,1308D2023400,Porto,Matosinhos,"41.25329240728268, -8.721106859919177",400,60%-79%,Cabine alta,2580.12,373,43.82,23,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;53.75;3144.5;2937.75;1339.75;643.25;173.5;0.0;0.0;0.0;0.0;0.0),13,1308
65,1308D2071200,Porto,Matosinhos,"41.20898585173012, -8.687992786282576",1890,20%-39%,Cabine baixa integrada em edifício,4095.66,185,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3132.25;634.25;1880.5;2662.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
66,1308D2009700,Porto,Matosinhos,"41.196189239991355, -8.704738220997905",400,20%-39%,Cabine alta,1140.09,150,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.25;4125.5;3041.0;1100.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
67,1308D2071400,Porto,Matosinhos,"41.20475494552564, -8.638166055432931",630,20%-39%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3389.75;3387.5;599.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
68,1308D2031700,Porto,Matosinhos,"41.188258623507764, -8.65363646481662",630,20%-39%,Cabine baixa integrada em edifício,1512.00,214,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2498.0;5164.0;652.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
69,0113D2034700,Aveiro,Oliveira de Azeméis,"40.91922421691709, -8.447265927349918",250,20%-39%,Aéreo - AI,503.13,44,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.25;6167.25;1747.25;410.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,113
