Quarter;District;Municipality;Parish;Maximum Admissible Power (kW);Connection points for electric vehicles charging stations;DistrictCode;DistrictMunicipalityCode;DistrictMunicipalityParishCode
2025T4;Porto;Penafiel;Penafiel;41.4;2;13;1311;131139
2025T4;Porto;Penafiel;Penafiel;200.0;4;13;1311;131139
2025T4;Porto;Penafiel;Penafiel;10.35;1;13;1311;131139
2025T4;Porto;Penafiel;Penafiel;100.0;1;13;1311;131139
2025T4;Porto;Porto;Bonfim;13.8;1;13;1312;131202
2025T4;Porto;Porto;Bonfim;42.0;1;13;1312;131202
2025T4;Porto;Penafiel;Irivo;6.9;1;13;1311;131115
2025T4;Porto;Vila Nova de Gaia;Santa Marinha e São Pedro da Afurada;55.0;2;13;1317;131730
2025T4;Porto;Vila Nova de Gaia;Santa Marinha e São Pedro da Afurada;200.0;1;13;1317;131730
2025T4;Porto;Gondomar;Rio Tinto;41.4;2;13;1304;130408
2025T4;Porto;Gondomar;Fânzeres e São Pedro da Cova;145.0;1;13;1304;130413
2025T4;Porto;Trofa;Bougado (São Martinho e Santiago);100.0;1;13;1318;131810
2025T4;Porto;Trofa;Coronado (São Romão e São Mamede);300.0;1;13;1318;131811
2025T4;Porto;Valongo;Alfena;10.35;3;13;1315;131501
2025T4;Porto;Vila Nova de Gaia;São Félix da Marinha;100.0;1;13;1317;131717
2025T4;Porto;Vila Nova de Gaia;São Félix da Marinha;27.6;1;13;1317;131717
2025T4;Porto;Vila Nova de Gaia;Madalena;6.9;3;13;1317;131709
2025T4;Porto;Vila Nova de Gaia;Vilar de Andorinho;10.35;1;13;1317;131723
2025T4;Porto;Vila Nova de Gaia;Oliveira do Douro;100.0;1;13;1317;131712
2025T4;Porto;Matosinhos;Perafita, Lavra e Santa Cruz do Bispo;13.8;5;13;1308;130813
2025T4;Porto;Matosinhos;Custóias, Leça do Balio e Guifões;2000.0;1;13;1308;130811
2025T4;Porto;Matosinhos;Matosinhos e Leça da Palmeira;13.8;5;13;1308;130812
2025T4;Porto;Matosinhos;Matosinhos e Leça da Palmeira;200.0;2;13;1308;130812
2025T4;Porto;Matosinhos;Matosinhos e Leça da Palmeira;199.0;1;13;1308;130812
2025T4;Porto;Vila do Conde;Vila do Conde;340.0;1;13;1316;131628
2025T4;Porto;Vila do Conde;Vila do Conde;472.5;1;13;1316;131628
2025T4;Porto;Amarante;Amarante (São Gonçalo), Madalena, Cepelos e Gatão;400.0;1;13;1301;130142
2025T4;Porto;Amarante;Amarante (São Gonçalo), Madalena, Cepelos e Gatão;200.0;2;13;1301;130142
2025T4;Porto;Maia;Moreira;100.0;1;13;1306;130609
2025T4;Porto;Maia;Moreira;250.0;1;13;1306;130609
2025T4;Porto;Maia;Nogueira e Silva Escura;200.0;1;13;1306;130620
2025T4;Porto;Valongo;Campo e Sobrado;630.0;1;13;1315;131506
2025T4;Porto;Felgueiras;Margaride, Várzea, Lagares, Varziela e Moure;66.0;1;13;1303;130335
2025T4;Porto;Felgueiras;Margaride, Várzea, Lagares, Varziela e Moure;200.0;2;13;1303;130335
2025T4;Porto;Felgueiras;Pombeiro de Ribavizela;20.7;1;13;1303;130315
