Installation Code;District;Municipality;Geographic Coordinates;Installed Power [kVA];Usage Level [%];Construction Type;Contracted Power [kVA];Number of Clients;Power Generation [kW];Number of Client Producers;Usage Histogram;DistrictCode;DistrictMunicipalityCode
1312D2103900;Porto;Porto;41.184661068499786, -8.609953901947133;400;N/D;Cabine baixa em edifício próprio;662.19;129;N/D;<20;;13;1312
1312D2047400;Porto;Porto;41.14868040902462, -8.60395239332418;630;20%-39%;Cabine baixa integrada em edifício;625.60;102;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1749.5;6157.0;408.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2062900;Porto;Porto;41.17765756325151, -8.64326939322383;630;20%-39%;Cabine baixa integrada em edifício;1113.29;199;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3727.75;4360.75;225.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2096800;Porto;Porto;41.152700945574985, -8.593289664792632;400;0%-19%;Cabine baixa integrada em edifício;545.11;94;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7774.25;550.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2009700;Porto;Porto;41.158644660502674, -8.665671549088048;630;20%-39%;Cabine baixa em edifício próprio;1131.60;77;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;104.25;5092.75;2859.25;255.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2023200;Porto;Porto;41.15374448465577, -8.588586104909876;1000;0%-19%;Cabine baixa integrada em edifício;500.52;45;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;274.0;8041.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2022300;Porto;Porto;41.14839391648037, -8.600044439201794;630;20%-39%;Cabine baixa integrada em edifício;1051.90;130;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1959.25;4346.0;2010.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2075700;Porto;Porto;41.15743181711832, -8.593182152070591;400;20%-39%;Cabine baixa em edifício próprio;737.91;103;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3236.5;4970.0;105.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2103600;Porto;Porto;41.16718430659271, -8.652631997108825;630;0%-19%;Cabine baixa em edifício próprio;892.40;91;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8257.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2047900;Porto;Porto;41.15422590969332, -8.609893381498761;630;0%-19%;Cabine subterrânea;314.09;32;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8328.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2003200;Porto;Porto;41.16313491467066, -8.634441300215675;1260;20%-39%;Cabine baixa integrada em edifício;3309.10;470;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2934.75;4978.75;167.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2052900;Porto;Porto;41.171264200258236, -8.594607722621339;630;0%-19%;Cabine subterrânea;747.50;100;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4479.0;3834.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2070300;Porto;Porto;41.18123331058469, -8.613093951823018;400;20%-39%;Cabine baixa integrada em edifício;870.56;133;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;525.0;3625.25;3159.25;1004.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2086500;Porto;Porto;41.17037434433302, -8.626983095857666;630;0%-19%;Cabine baixa integrada em edifício;1174.65;144;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3765.5;4546.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2106200;Porto;Porto;41.17418894708384, -8.64216759799869;630;0%-19%;Cabine pré-fabricada;274.03;59;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7376.25;831.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2117500;Porto;Porto;41.174564891220975, -8.586898611897587;630;0%-19%;Cabine pré-fabricada;701.12;101;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8206.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2067700;Porto;Porto;41.159966732614464, -8.630713744222353;400;40%-59%;Cabine subterrânea;1326.01;190;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;144.0;2574.5;3276.0;1802.25;515.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2118900;Porto;Porto;41.165145584560804, -8.641482054012352;630;0%-19%;Cabine baixa integrada em edifício;1094.50;155;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2868.25;5444.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2073700;Porto;Porto;41.15733393192883, -8.652996307597032;630;20%-39%;Cabine baixa em edifício próprio;1761.75;248;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;431.0;4118.5;3005.25;754.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2014300;Porto;Porto;41.16054782830913, -8.592076255533355;1260;20%-39%;Cabine subterrânea;2220.70;290;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1455.75;4731.75;2125.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2000400;Porto;Porto;41.14624179015766, -8.606848531293595;1890;N/D;Cabine baixa em edifício próprio;1698.68;198;N/D;<20;;13;1312
1312D2031600;Porto;Porto;41.1727088595302, -8.590875945471836;630;0%-19%;Cabine subterrânea;924.35;122;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5034.25;3279.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2041700;Porto;Porto;41.14618402375169, -8.584254060875034;630;0%-19%;Cabine subterrânea;887.02;155;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4927.0;3383.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2048100;Porto;Porto;41.161820207070356, -8.592345988041615;630;20%-39%;Cabine subterrânea;847.80;89;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3327.0;4580.25;405.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2107000;Porto;Porto;41.15674416929899, -8.573430262549019;630;0%-19%;Cabine baixa integrada em edifício;957.70;196;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5797.0;2516.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2031200;Porto;Porto;41.16154983936959, -8.60114179186326;630;20%-39%;Cabine subterrânea;1161.10;136;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.0;5118.75;2996.5;126.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2103500;Porto;Porto;41.1675643216178, -8.651632169602662;630;0%-19%;Cabine baixa integrada em edifício;965.75;109;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3286.0;4945.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
